Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
BTCUSDT,Long,"66,195.264 USDT",22,"1,456,295.80 USDT","680,196 USDT",46.71 %,10/31/2024 16:07 UTC,11/25/2024 01:25 UTC,"49.05 % 98,666 USDT",,2024-10-31 16:07:00,2024-11-25 01:25:00,2024-11-01 01:07:00,2024-11-25 10:25:00,2024-11-01 01:07 KST,2024-11-25 10:25 KST,680196.0,1,680196.0,1456295.8,1456295.8,680196.0,680196.0
JUPUSDT,Long,1.12 USDT,100,112.01 USDT,-1.69 USDT,-1.51 %,11/14/2024 17:11 UTC,11/25/2024 01:43 UTC,5.29 % 1.18 USDT,-7.40 % 1.04 USDT,2024-11-14 17:11:00,2024-11-25 01:43:00,2024-11-15 02:11:00,2024-11-25 10:43:00,2024-11-15 02:11 KST,2024-11-25 10:43 KST,1.69,-1,-1.69,112.01,112.01,680194.31,680194.31
AGLDUSDT,Long,1.473 USDT,"205,600","302,761.93 USDT","7,645 USDT",2.53 %,11/18/2024 02:28 UTC,11/30/2024 00:53 UTC,7.86 % 1.59 USDT,-15.91 % 1.24 USDT,2024-11-18 02:28:00,2024-11-30 00:53:00,2024-11-18 11:28:00,2024-11-30 09:53:00,2024-11-18 11:28 KST,2024-11-30 09:53 KST,7645.0,1,7645.0,302761.93,302761.93,687839.31,687839.31
SOLUSDT,Long,212.754 USDT,"10,313","2,194,130.34 USDT","298,924 USDT",13.62 %,11/18/2024 09:52 UTC,11/30/2024 01:02 UTC,22.25 % 260.09 USDT,,2024-11-18 09:52:00,2024-11-30 01:02:00,2024-11-18 18:52:00,2024-11-30 10:02:00,2024-11-18 18:52 KST,2024-11-30 10:02 KST,298924.0,1,298924.0,2194130.34,2194130.34,986763.31,986763.31
SUIUSDT,Long,3.28 USDT,"724,618.5","2,376,778.58 USDT","104,913 USDT",4.41 %,11/20/2024 04:07 UTC,11/30/2024 00:30 UTC,11.47 % 3.66 USDT,-9.39 % 2.97 USDT,2024-11-20 04:07:00,2024-11-30 00:30:00,2024-11-20 13:07:00,2024-11-30 09:30:00,2024-11-20 13:07 KST,2024-11-30 09:30 KST,104913.0,1,104913.0,2376778.58,2376778.58,1091676.31,1091676.31
TAOUSDT,Long,532.204 USDT,"2,608.906","1,388,469.83 USDT","215,418 USDT",15.51 %,11/21/2024 01:43 UTC,11/30/2024 01:35 UTC,20.25 % 639.99 USDT,-7.65 % 491.50 USDT,2024-11-21 01:43:00,2024-11-30 01:35:00,2024-11-21 10:43:00,2024-11-30 10:35:00,2024-11-21 10:43 KST,2024-11-30 10:35 KST,215418.0,1,215418.0,1388469.83,1388469.83,1307094.31,1307094.31
GOATUSDT,Long,0.833 USDT,"1,007,789","839,376.98 USDT","33,130 USDT",3.95 %,11/23/2024 10:18 UTC,11/30/2024 01:18 UTC,14.73 % 0.96 USDT,-16.84 % 0.69 USDT,2024-11-23 10:18:00,2024-11-30 01:18:00,2024-11-23 19:18:00,2024-11-30 10:18:00,2024-11-23 19:18 KST,2024-11-30 10:18 KST,33130.0,1,33130.0,839376.98,839376.98,1340224.31,1340224.31
WLDUSDT,Long,2.634 USDT,"300,000","790,350.00 USDT","-44,560.98 USDT",-5.64 %,11/25/2024 01:20 UTC,11/25/2024 13:27 UTC,0.72 % 2.65 USDT,-6.12 % 2.47 USDT,2024-11-25 01:20:00,2024-11-25 13:27:00,2024-11-25 10:20:00,2024-11-25 22:27:00,2024-11-25 10:20 KST,2024-11-25 22:27 KST,44560.98,-1,-44560.98,790350.0,790350.0,1295663.33,1295663.33
STXUSDT,Long,2.278 USDT,"219,510","499,999.88 USDT","2,220 USDT",0.44 %,11/25/2024 02:51 UTC,11/25/2024 04:30 UTC,5.96 % 2.41 USDT,-1.66 % 2.24 USDT,2024-11-25 02:51:00,2024-11-25 04:30:00,2024-11-25 11:51:00,2024-11-25 13:30:00,2024-11-25 11:51 KST,2024-11-25 13:30 KST,2220.0,1,2220.0,499999.88,499999.88,1297883.33,1297883.33
GRASSUSDT,Long,2.716 USDT,"17,905.6","48,629.33 USDT","2,991 USDT",6.15 %,11/25/2024 13:29 UTC,11/26/2024 00:38 UTC,7.35 % 2.92 USDT,-8.34 % 2.49 USDT,2024-11-25 13:29:00,2024-11-26 00:38:00,2024-11-25 22:29:00,2024-11-26 09:38:00,2024-11-25 22:29 KST,2024-11-26 09:38 KST,2991.0,1,2991.0,48629.33,48629.33,1300874.33,1300874.33
BTCUSDT,Long,"91,900.7 USDT",15,"1,378,510.50 USDT","2,033 USDT",0.15 %,11/26/2024 11:28 UTC,11/26/2024 23:55 UTC,"3.10 % 94,745 USDT","-1.13 % 90,866 USDT",2024-11-26 11:28:00,2024-11-26 23:55:00,2024-11-26 20:28:00,2024-11-27 08:55:00,2024-11-26 20:28 KST,2024-11-27 08:55 KST,2033.0,1,2033.0,1378510.5,1378510.5,1302907.33,1302907.33
RPLUSDT,Long,13.297 USDT,"11,280.7","149,999.47 USDT","7,494 USDT",5.00 %,11/26/2024 14:30 UTC,11/30/2024 01:03 UTC,11.45 % 14.82 USDT,-4.34 % 12.72 USDT,2024-11-26 14:30:00,2024-11-30 01:03:00,2024-11-26 23:30:00,2024-11-30 10:03:00,2024-11-26 23:30 KST,2024-11-30 10:03 KST,7494.0,1,7494.0,149999.47,149999.47,1310401.33,1310401.33
WLDUSDT,Long,3.221 USDT,"93,147","299,998.54 USDT","18,370 USDT",6.12 %,11/30/2024 12:28 UTC,12/01/2024 23:22 UTC,16.07 % 3.74 USDT,-2.31 % 3.15 USDT,2024-11-30 12:28:00,2024-12-01 23:22:00,2024-11-30 21:28:00,2024-12-02 08:22:00,2024-11-30 21:28 KST,2024-12-02 08:22 KST,18370.0,1,18370.0,299998.54,299998.54,1328771.33,1328771.33
1000SHIBUSDT,Long,0.031 USDT,"22,568,996","699,999.98 USDT","7,021 USDT",1.00 %,12/01/2024 06:09 UTC,12/01/2024 23:25 UTC,7.01 % 0.03 USDT,-5.01 % 0.03 USDT,2024-12-01 06:09:00,2024-12-01 23:25:00,2024-12-01 15:09:00,2024-12-02 08:25:00,2024-12-01 15:09 KST,2024-12-02 08:25 KST,7021.0,1,7021.0,699999.98,699999.98,1335792.33,1335792.33
SUIUSDT,Long,3.494 USDT,"100,000","349,400.00 USDT",-15.24 USDT,0.00 %,12/01/2024 15:37 UTC,12/01/2024 15:40 UTC,0.15 % 3.50 USDT,-0.07 % 3.49 USDT,2024-12-01 15:37:00,2024-12-01 15:40:00,2024-12-02 00:37:00,2024-12-02 00:40:00,2024-12-02 00:37 KST,2024-12-02 00:40 KST,15.24,-1,-15.24,349400.0,349400.0,1335777.09,1335777.09
